"...1","Name","startdato","slutdato","party","partyShortname","sex","born","bloc"
214,"Anne Valentina Berthelsen",NA,NA,NA,"SF","f","34593","left"
215,"Astrid Carøe",NA,NA,NA,"SF","f","34527","left"
216,"Charlotte Broman Mølbæk",NA,NA,NA,"SF","f","28458","left"
217,"Signe Munk",NA,NA,NA,"SF","f","32942","left"
218,"Katarina Ammitzbøll",NA,NA,NA,"KF","f","25399","right"
219,"Birgitte Bergman","2019-10-01T00:00:00Z",NA,NA,"KF","f","24485","right"
220,"Mona Juul",NA,NA,NA,"KF","f","24735","right"
221,"Kasper Sand Kjær","2023-10-04T00:00:00Z","2023-10-31T00:00:00Z",NA,"S","m","32632","left"
222,"Henrik Møller",NA,NA,NA,"S","m","24062","left"
223,"Rasmus Stoklund",NA,NA,NA,"S","m","30758","left"
224,"Bjørn Brandenborg",NA,NA,NA,"S","m","33582","left"
225,"Anders Kronborg",NA,NA,"Socialdemokratiet","S","m","30028","left"
226,"Birgitte Vind",NA,NA,NA,"S","f","23967","left"
227,"Camilla Fabricius",NA,NA,NA,"S","f","26226","left"
228,"Mette Thiesen",NA,NA,NA,"DF","f","29940","right"
229,"Peter Seier Christensen",NA,NA,NA,"NB","m","24836","right"
230,"Pernille Vermund",NA,NA,NA,"NB","f","27731","right"
231,"Lars Boje Mathiesen",NA,NA,NA,"NB","m","27535","right"
232,"Samira Nawa",NA,NA,NA,"RV","f","32232","left"
233,"Stinus Lindgreen",NA,NA,NA,"RV","m","29442","left"
234,"Kathrine Olldag","2019-10-01T00:00:00Z",NA,NA,"RV","f","26653","left"
235,"Anne Sophie Callesen","2019-10-01T00:00:00Z",NA,NA,"RV","f","32502","left"
236,"Katrine Robsøe",NA,NA,NA,"RV","f","33410","left"
237,"Tanja Larsson",NA,NA,NA,"S","f","28313","left"
238,"Theresa Berg Andersen",NA,NA,NA,"SF","f","29218","left"
239,"Gitte Willumsen",NA,NA,NA,"KF","f","24515","right"
240,"Susan Kronborg","2022-10-04T00:00:00Z",NA,NA,"RV","f","25024","left"
241,"Maja Torp",NA,NA,NA,"V","f","26850","right"
242,"Kenneth Mikkelsen","2022-06-09T00:00:00Z","2022-06-10T00:00:00Z",NA,"V","m","26157","right"
243,"Anne Rasmussen","2022-09-29T00:00:00Z","2022-09-29T00:00:00Z",NA,"V","f","26037","right"
244,"Christina Thorholm","2022-10-04T00:00:00Z",NA,NA,"RV","f","23600","left"
245,"Kim Aas",NA,NA,NA,"S","m","25734","left"
246,"Maria Gudme","2022-05-17T00:00:00Z",NA,NA,"S","f","32581","left"
247,"Anna Falkenberg",NA,NA,NA,"g_f","f","35068",NA
248,"Nick Zimmermann",NA,NA,NA,"DF","m","34576","right"
249,"Franciska Rosenkilde",NA,NA,NA,"ALT","f","27838","left"
250,"Helene Liliendahl Brydensholt",NA,NA,NA,"ALT","f","31997","left"
251,"Sascha Faxe",NA,NA,NA,"ALT","f","26149","left"
252,"Theresa Scavenius",NA,NA,NA,"ALT","f","30889","left"
253,"Kim Edberg Andersen",NA,NA,NA,"DD","m","26836","right"
254,"Mikkel Bjørn",NA,NA,NA,"DF","m","34991","right"
255,"Lise Bertelsen",NA,NA,NA,"KF","f","27645","right"
256,"Marianne Bigum",NA,NA,NA,"SF","f","30416","left"
257,"Sigurd Agersnap",NA,NA,NA,"SF","m","34030","left"
258,"Sofie Lippert",NA,NA,NA,"SF","f","35053","left"
259,"Fie Hækkerup",NA,NA,NA,"S","f","34540","left"
260,"Thomas Monberg",NA,NA,NA,"S","m","27869","left"
261,"Sara Emil Baaring",NA,NA,NA,"S","f","31696","left"
262,"Normann Andersen",NA,NA,"Socialdemokratiet","S","m","7301","left"
263,"Susanne Eilersen","2019-10-30T00:00:00Z","2019-11-15T00:00:00Z","Dansk Folkeparti","DF","f","23613","right"
264,"Colette L. Brix","2002-10-01T00:00:00Z",NA,NA,"DF","f","18451","right"
265,"Irene Simonsen","2002-10-01T00:00:00Z",NA,NA,"V","f","21549","right"
266,"Anita Knakkergaard","2002-10-01T00:00:00Z",NA,NA,"DF","f","17414","right"
267,"Svend Auken","1994-09-27T00:00:00Z","2001-11-27T00:00:00Z",NA,"S","m","15850","left"
268,"Jens Peter Vernersen","2002-10-01T00:00:00Z",NA,NA,"S","m","17290","left"
269,"Thor Pedersen","1996-10-01T00:00:00Z",NA,NA,"V","m","16602","right"
